Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999855,
0.0002,1,0,-0.99971,
0.0003,1,0,-0.999565,
0.0004,1,0,-0.99942,
0.0005,1,0,-0.999275,
0.0006,1,0,-0.99913,
0.0007,1,0,-0.998985,
0.0008,1,0,-0.99884,
0.0009,1,0,-0.998695,
0.001,1,0,-0.99855,
0.0011,1,0,-0.998405,
0.0012,1,0,-0.99826,
0.0013,1,0,-0.998115,
0.0014,1,0,-0.99797,
0.0015,1,0,-0.997825,
0.0016,1,0,-0.99768,
0.0017,1,0,-0.997535,
0.0018,1,0,-0.99739,
0.0019,1,0,-0.997245,
0.002,1,0,-0.9971,
0.0021,1,0,-0.996955,
0.0022,1,0,-0.99681,
0.0023,1,0,-0.996665,
0.0024,1,0,-0.99652,
0.0025,1,0,-0.996375,
0.0026,1,0,-0.99623,
0.0027,1,0,-0.996085,
0.0028,1,0,-0.99594,
0.0029,1,0,-0.995795,
0.003,1,0,-0.99565,
0.0031,1,0,-0.995505,
0.0032,1,0,-0.99536,
0.0033,1,0,-0.995215,
0.0034,1,0,-0.99507,
0.0035,1,0,-0.994925,
0.0036,1,0,-0.99478,
0.0037,1,0,-0.994635,
0.0038,1,0,-0.99449,
0.0039,1,0,-0.994345,
0.004,1,0,-0.9942,
0.0041,1,0,-0.994055,
0.0042,1,0,-0.99391,
0.0043,1,0,-0.993765,
0.0044,1,0,-0.99362,
0.0045,1,0,-0.993475,
0.0046,1,0,-0.99333,
0.0047,1,0,-0.993185,
0.0048,1,0,-0.99304,
0.0049,1,0,-0.992895,
0.005,1,0,-0.99275,
0.0051,1,0,-0.992605,
0.0052,1,0,-0.99246,
0.0053,1,0,-0.992315,
0.0054,1,0,-0.99217,
0.0055,1,0,-0.992025,
0.0056,1,0,-0.99188,
0.0057,1,0,-0.991735,
0.0058,1,0,-0.99159,
0.0059,1,0,-0.991445,
0.006,1,0,-0.9913,
0.0061,1,0,-0.991155,
0.0062,1,0,-0.99101,
0.0063,1,0,-0.990865,
0.0064,1,0,-0.99072,
0.0065,1,0,-0.990575,
