Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.9999,
0.0002,1,0,-0.9998,
0.0003,1,0,-0.9997,
0.0004,1,0,-0.9996,
0.0005,1,0,-0.9995,
0.0006,1,0,-0.9994,
0.0007,1,0,-0.9993,
0.0008,1,0,-0.9992,
0.0009,1,0,-0.9991,
0.001,1,0,-0.999,
0.0011,1,0,-0.9989,
0.0012,1,0,-0.9988,
0.0013,1,0,-0.9987,
0.0014,1,0,-0.9986,
0.0015,1,0,-0.9985,
0.0016,1,0,-0.9984,
0.0017,1,0,-0.9983,
0.0018,1,0,-0.9982,
0.0019,1,0,-0.9981,
0.002,1,0,-0.998,
0.0021,1,0,-0.9979,
0.0022,1,0,-0.9978,
0.0023,1,0,-0.9977,
0.0024,1,0,-0.9976,
0.0025,1,0,-0.9975,
0.0026,1,0,-0.9974,
0.0027,1,0,-0.9973,
0.0028,1,0,-0.9972,
0.0029,1,0,-0.9971,
0.003,1,0,-0.997,
0.0031,1,0,-0.9969,
0.0032,1,0,-0.9968,
0.0033,1,0,-0.9967,
0.0034,1,0,-0.9966,
0.0035,1,0,-0.9965,
0.0036,1,0,-0.9964,
0.0037,1,0,-0.9963,
0.0038,1,0,-0.9962,
0.0039,1,0,-0.9961,
0.004,1,0,-0.996,
0.0041,1,0,-0.9959,
0.0042,1,0,-0.9958,
0.0043,1,0,-0.9957,
0.0044,1,0,-0.9956,
0.0045,1,0,-0.9955,
0.0046,1,0,-0.9954,
0.0047,1,0,-0.9953,
0.0048,1,0,-0.9952,
0.0049,1,0,-0.9951,
0.005,1,0,-0.995,
0.0051,1,0,-0.9949,
0.0052,1,0,-0.9948,
0.0053,1,0,-0.9947,
0.0054,1,0,-0.9946,
0.0055,1,0,-0.9945,
0.0056,1,0,-0.9944,
0.0057,1,0,-0.9943,
0.0058,1,0,-0.9942,
0.0059,1,0,-0.9941,
0.006,1,0,-0.994,
0.0061,1,0,-0.9939,
0.0062,1,0,-0.9938,
0.0063,1,0,-0.9937,
0.0064,1,0,-0.9936,
0.0065,1,0,-0.9935,
0.0066,1,0,-0.9934,
0.0067,1,0,-0.9933,
0.0068,1,0,-0.9932,
0.0069,1,0,-0.9931,
0.007,1,0,-0.993,
0.0071,1,0,-0.9929,
0.0072,1,0,-0.9928,
0.0073,1,0,-0.9927,
0.0074,1,0,-0.9926,
0.0075,1,0,-0.9925,
0.0076,1,0,-0.9924,
0.0077,1,0,-0.9923,
0.0078,1,0,-0.9922,
0.0079,1,0,-0.9921,
0.008,1,0,-0.992,
0.0081,1,0,-0.9919,
0.0082,1,0,-0.9918,
0.0083,1,0,-0.9917,
0.0084,1,0,-0.9916,
0.0085,1,0,-0.9915,
0.0086,1,0,-0.9914,
0.0087,1,0,-0.9913,
0.0088,1,0,-0.9912,
0.0089,1,0,-0.9911,
0.009,1,0,-0.991,
0.0091,1,0,-0.9909,
0.0092,1,0,-0.9908,
0.0093,1,0,-0.9907,
0.0094,1,0,-0.9906,
0.0095,1,0,-0.9905,
0.0096,1,0,-0.9904,
0.0097,1,0,-0.9903,
0.0098,1,0,-0.9902,
0.0099,1,0,-0.9901,
0.01,1,0,-0.99,
0.0101,1,0,-0.9899,
0.0102,1,0,-0.9898,
0.0103,1,0,-0.9897,
0.0104,1,0,-0.9896,
0.0105,1,0,-0.9895,
0.0106,1,0,-0.9894,
0.0107,1,0,-0.9893,
0.0108,1,0,-0.9892,
0.0109,1,0,-0.9891,
0.011,1,0,-0.989,
0.0111,1,0,-0.9889,
0.0112,1,0,-0.9888,
0.0113,1,0,-0.9887,
0.0114,1,0,-0.9886,
0.0115,1,0,-0.9885,
0.0116,1,0,-0.9884,
0.0117,1,0,-0.9883,
0.0118,1,0,-0.9882,
0.0119,1,0,-0.9881,
0.012,1,0,-0.988,
0.0121,1,0,-0.9879,
0.0122,1,0,-0.9878,
0.0123,1,0,-0.9877,
0.0124,1,0,-0.9876,
